title,author,rating,link,cover_url,genre,price,published_year
The Killer Inside Me,Jim Thompson,3.86 avg rating,https://www.goodreads.com/book/show/298663.The_Killer_Inside_Me,,,,
"1Q84 (1Q84, #1-3)",Haruki Murakami,3.95 avg rating,https://www.goodreads.com/book/show/10357575-1q84,,,,
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,4.26 avg rating,https://www.goodreads.com/book/show/51335759-good-girl-bad-blood,,,,
We Need to Talk About Kevin,Lionel Shriver,4.08 avg rating,https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin,,,,
"[No Country for Old Men] (By: Cormac McCarthy) [published: December, 2007]",Cormac McCarthy,4.17 avg rating,https://www.goodreads.com/book/show/131313317-no-country-for-old-men-by,,,,
"Carry On (Simon Snow, #1)",Rainbow Rowell,4.16 avg rating,https://www.goodreads.com/book/show/32768522-carry-on,,,,
"Hunted (House of Night, #5)",P.C. Cast,3.93 avg rating,https://www.goodreads.com/book/show/4134071-hunted,,,,
"The Scorch Trials (The Maze Runner, #2)",James Dashner,3.89 avg rating,https://www.goodreads.com/book/show/7631105-the-scorch-trials,,,,
"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,4.36 avg rating,https://www.goodreads.com/book/show/7723542-a-dog-s-purpose,,,,
"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.93 avg rating,https://www.goodreads.com/book/show/12513614-captive-in-the-dark,,,,
"Viciously Yours (Fae Kings of Eden, #1)",Jamie Applegate Hunter,3.60 avg rating,https://www.goodreads.com/book/show/205404157-viciously-yours,,,,
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.95 avg rating,https://www.goodreads.com/book/show/65641.The_Silver_Chair,,,,
No One Can Know,Kate Alice Marshall,3.65 avg rating,https://www.goodreads.com/book/show/127305892-no-one-can-know,,,,
"L.A. Confidential (L.A. Quartet, #3)",James Ellroy,4.18 avg rating,https://www.goodreads.com/book/show/57727.L_A_Confidential,,,,
Taming Flame,Therisa Peimer,4.28 avg rating,https://www.goodreads.com/book/show/61608233-taming-flame,,,,
Before I Fall,Lauren Oliver,3.88 avg rating,https://www.goodreads.com/book/show/6482837-before-i-fall,,,,
The Merchant of Venice,William Shakespeare,3.78 avg rating,https://www.goodreads.com/book/show/24128.The_Merchant_of_Venice,,,,
Interpreter of Maladies,Jhumpa Lahiri,4.18 avg rating,https://www.goodreads.com/book/show/5439.Interpreter_of_Maladies,,,,
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.16 avg rating,https://www.goodreads.com/book/show/7664041-inheritance,,,,
Gray After Dark,Noelle W. Ihli,4.19 avg rating,https://www.goodreads.com/book/show/204787816-gray-after-dark,,,,
"Inferno (Robert Langdon, #4)",Dan    Brown,3.90 avg rating,https://www.goodreads.com/book/show/17212231-inferno,,,,
Project Hail Mary,Andy Weir,4.50 avg rating,https://www.goodreads.com/book/show/54493401-project-hail-mary,,,,
"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,4.01 avg rating,https://www.goodreads.com/book/show/30868.The_Bean_Trees,,,,
"The Secret (The Secret, #1)",Rhonda Byrne,3.74 avg rating,https://www.goodreads.com/book/show/52529.The_Secret,,,,
"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,4.03 avg rating,https://www.goodreads.com/book/show/366522.P_S_I_Love_You,,,,
"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,3.70 avg rating,https://www.goodreads.com/book/show/305234.Wicked_Lovely,,,,
A Brief History of Time,Stephen Hawking,4.21 avg rating,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time,,,,
"Hidden Bodies (You, #2)",Caroline Kepnes,3.74 avg rating,https://www.goodreads.com/book/show/29430824-hidden-bodies,,,,
"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,4.19 avg rating,https://www.goodreads.com/book/show/56905097-as-good-as-dead,,,,
Educated,Tara Westover,4.47 avg rating,https://www.goodreads.com/book/show/35133922-educated,,,,
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98 avg rating,https://www.goodreads.com/book/show/121749.Prince_Caspian,,,,
The Bluest Eye,Toni Morrison,4.13 avg rating,https://www.goodreads.com/book/show/11337.The_Bluest_Eye,,,,
"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,4.43 avg rating,https://www.goodreads.com/book/show/18705209-the-blood-of-olympus,,,,
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,4.37 avg rating,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,,,,
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,3.92 avg rating,https://www.goodreads.com/book/show/43758.The_Queen_of_the_Damned,,,,
Ask for Andrea,Noelle W. Ihli,4.08 avg rating,https://www.goodreads.com/book/show/60168787-ask-for-andrea,,,,
Gravity’s Rainbow,Thomas Pynchon,4.01 avg rating,https://www.goodreads.com/book/show/415.Gravity_s_Rainbow,,,,
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,3.88 avg rating,https://www.goodreads.com/book/show/27003.The_Eyre_Affair,,,,
The Club,Ellery Lloyd,3.28 avg rating,https://www.goodreads.com/book/show/58536005-the-club,,,,
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98 avg rating,https://www.goodreads.com/book/show/17125.One_Day_in_the_Life_of_Ivan_Denisovich,,,,
"Think Twice (Myron Bolitar, #12)",Harlan Coben,4.24 avg rating,https://www.goodreads.com/book/show/198494009-think-twice,,,,
All the King's Men,Robert Penn Warren,4.09 avg rating,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,,,,
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.16 avg rating,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,,,,
Invisible Monsters,Chuck Palahniuk,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/36236125-invisible-monsters,,,,
House of Leaves,Mark Z. Danielewski,4.09 avg rating,https://www.goodreads.com/book/show/24800.House_of_Leaves,,,,
"My Sister, the Serial Killer",Oyinkan Braithwaite,3.64 avg rating,https://www.goodreads.com/book/show/38819868-my-sister-the-serial-killer,,,,
Head Like a Hole,Andrew Van Wey,3.84 avg rating,https://www.goodreads.com/book/show/61800582-head-like-a-hole,,,,
"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,4.34 avg rating,https://www.goodreads.com/book/show/64216.Guards_Guards_,,,,
"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,4.32 avg rating,https://www.goodreads.com/book/show/35729.Lover_Eternal,,,,
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.45 avg rating,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,,,,
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.19 avg rating,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,,,,
"In Cold Blood by Truman Capote [Random,2002]",Truman Capote,4.09 avg rating,https://www.goodreads.com/book/show/143416043-in-cold-blood-by-truman-capote-random-2002,,,,
Because of Winn-Dixie,Kate DiCamillo,4.10 avg rating,https://www.goodreads.com/book/show/357664.Because_of_Winn_Dixie,,,,
The Roommate,Kiersten Modglin,3.77 avg rating,https://www.goodreads.com/book/show/57040367-the-roommate,,,,
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.05 avg rating,https://www.goodreads.com/book/show/7869.The_Bourne_Identity,,,,
Angels Fall,Nora Roberts,4.05 avg rating,https://www.goodreads.com/book/show/26050.Angels_Fall,,,,
"Poison Study (Study, #1)",Maria V. Snyder,4.09 avg rating,https://www.goodreads.com/book/show/60510.Poison_Study,,,,
Seabiscuit: An American Legend,Laura Hillenbrand,4.23 avg rating,https://www.goodreads.com/book/show/110737.Seabiscuit,,,,
Foucault’s Pendulum,Umberto Eco,3.91 avg rating,https://www.goodreads.com/book/show/17841.Foucault_s_Pendulum,,,,
"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,3.89 avg rating,https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea,,,,
Look Closer,David Ellis,4.16 avg rating,https://www.goodreads.com/book/show/59316367-look-closer,,,,
The Girl Who Was Taken,Charlie Donlea,4.17 avg rating,https://www.goodreads.com/book/show/39657755-the-girl-who-was-taken,,,,
The Memory Keeper's Daughter,Kim Edwards,3.70 avg rating,https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter,,,,
The Ocean at the End of the Lane,Neil Gaiman,4.01 avg rating,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,,,,
The Iliad,Homer,3.93 avg rating,https://www.goodreads.com/book/show/1371.The_Iliad,,,,
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.10 avg rating,https://www.goodreads.com/book/show/1582996.City_of_Ashes,,,,
Galveston,Nic Pizzolatto,3.73 avg rating,https://www.goodreads.com/book/show/7203669-galveston,,,,
Mythology,Edith Hamilton,4.03 avg rating,https://www.goodreads.com/book/show/23522.Mythology,,,,
Peace Like a River,Leif Enger,4.03 avg rating,https://www.goodreads.com/book/show/227571.Peace_Like_a_River,,,,
The Night Before Christmas,Clement Clarke Moore,4.40 avg rating,https://www.goodreads.com/book/show/196970.The_Night_Before_Christmas,,,,
A People’s History of the United States: 1492 - Present,Howard Zinn,4.09 avg rating,https://www.goodreads.com/book/show/2767.A_People_s_History_of_the_United_States,,,,
"Not Forever, But For Now",Chuck Palahniuk,3.04 avg rating,https://www.goodreads.com/book/show/101145468-not-forever-but-for-now,,,,
If We Were Villains,M.L. Rio,4.10 avg rating,https://www.goodreads.com/book/show/30319086-if-we-were-villains,,,,
Notes on an Execution,Danya Kukafka,4.04 avg rating,https://www.goodreads.com/book/show/57773248-notes-on-an-execution,,,,
"Where She Went (If I Stay, #2)",Gayle Forman,3.97 avg rating,https://www.goodreads.com/book/show/8492825-where-she-went,,,,
"Oedipus Rex  (The Theban Plays, #1)",Sophocles,3.73 avg rating,https://www.goodreads.com/book/show/1554.Oedipus_Rex,,,,
"The Talisman (The Talisman, #1)",Stephen        King,4.11 avg rating,https://www.goodreads.com/book/show/59219.The_Talisman,,,,
The History of Love,Nicole Krauss,3.92 avg rating,https://www.goodreads.com/book/show/3867.The_History_of_Love,,,,
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/46756.Oryx_and_Crake,,,,
Grimm's Fairy Tales,Jacob Grimm,4.23 avg rating,https://www.goodreads.com/book/show/19351490-grimm-s-fairy-tales,,,,
"The Fiery Cross (Outlander, #5)",Diana Gabaldon,4.26 avg rating,https://www.goodreads.com/book/show/10967.The_Fiery_Cross,,,,
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.56 avg rating,https://www.goodreads.com/book/show/2767793-the-hero-of-ages,,,,
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,4.13 avg rating,https://www.goodreads.com/book/show/19547856-simon-vs-the-homo-sapiens-agenda,,,,
Native Son,Richard Wright,4.04 avg rating,https://www.goodreads.com/book/show/15622.Native_Son,,,,
The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,4.07 avg rating,https://www.goodreads.com/book/show/99300.The_Yellow_Wallpaper_and_Other_Stories,,,,
The Midnight Library,Matt Haig,3.98 avg rating,https://www.goodreads.com/book/show/52578297-the-midnight-library,,,,
"Champion (Legend, #3)",Marie Lu,4.31 avg rating,https://www.goodreads.com/book/show/14290364-champion,,,,
The Tesseract,Alex Garland,3.30 avg rating,https://www.goodreads.com/book/show/243257.The_Tesseract,,,,
"Gone (Gone, #1)",Michael  Grant,3.87 avg rating,https://www.goodreads.com/book/show/2536134.Gone,,,,
"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,4.44 avg rating,https://www.goodreads.com/book/show/10965.A_Breath_of_Snow_and_Ashes,,,,
Archer's Voice,Mia Sheridan,4.17 avg rating,https://www.goodreads.com/book/show/32822135-archer-s-voice,,,,
"The Killer Angels (The Civil War Trilogy, #2)",Michael Shaara,4.33 avg rating,https://www.goodreads.com/book/show/682804.The_Killer_Angels,,,,
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.91 avg rating,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,,,,
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.05 avg rating,https://www.goodreads.com/book/show/6853.One_for_the_Money,,,,
Tokyo: The Devil of Nanking,Mo Hayder,3.93 avg rating,https://www.goodreads.com/book/show/6347010-tokyo,,,,
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.98 avg rating,https://www.goodreads.com/book/show/56495.The_Purpose_Driven_Life,,,,
I Am Legend and Other Stories,Richard Matheson,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories,,,,
If on a Winter’s Night a Traveler,Italo Calvino,4.02 avg rating,https://www.goodreads.com/book/show/374233.If_on_a_Winter_s_Night_a_Traveler,,,,
"Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett,4.50 avg rating,https://www.goodreads.com/book/show/47989.Night_Watch,,,,
Starship Troopers,Robert A. Heinlein,4.01 avg rating,https://www.goodreads.com/book/show/17214.Starship_Troopers,,,,
"Left Behind (Left Behind, #1)",Tim LaHaye,3.86 avg rating,https://www.goodreads.com/book/show/27523.Left_Behind,,,,
The Shards,Bret Easton Ellis,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/60880820-the-shards,,,,
Watchers,Dean Koontz,4.19 avg rating,https://www.goodreads.com/book/show/32423.Watchers,,,,
"Being a Witch, and Other Things I Didn't Ask For",Sara Pascoe,4.28 avg rating,https://www.goodreads.com/book/show/34186576-being-a-witch-and-other-things-i-didn-t-ask-for,,,,
"Shadowfever (Fever, #5)",Karen Marie Moning,4.39 avg rating,https://www.goodreads.com/book/show/7304203-shadowfever,,,,
Libra,Don DeLillo,4.05 avg rating,https://www.goodreads.com/book/show/400.Libra,,,,
"Darkfever (Fever, #1)",Karen Marie Moning,4.05 avg rating,https://www.goodreads.com/book/show/112750.Darkfever,,,,
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16 avg rating,https://www.goodreads.com/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler,,,,
"Corrupt (Devil's Night, #1)",Penelope Douglas,3.78 avg rating,https://www.goodreads.com/book/show/58124274-corrupt,,,,
"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,4.26 avg rating,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd,,,,
The Magus,John Fowles,4.05 avg rating,https://www.goodreads.com/book/show/16286.The_Magus,,,,
"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.12 avg rating,https://www.goodreads.com/book/show/131359.Death_on_the_Nile,,,,
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.49 avg rating,https://www.goodreads.com/book/show/59808071-the-ballad-of-never-after,,,,
"Scythe (Arc of a Scythe, #1)",Neal Shusterman,4.32 avg rating,https://www.goodreads.com/book/show/28954189-scythe,,,,
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,4.23 avg rating,https://www.goodreads.com/book/show/323355.The_Book_of_Mormon,,,,
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27 avg rating,https://www.goodreads.com/book/show/13831.Alanna,,,,
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.06 avg rating,https://www.goodreads.com/book/show/55987278-once-upon-a-broken-heart,,,,
John Adams,David McCullough,4.08 avg rating,https://www.goodreads.com/book/show/2203.John_Adams,,,,
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,4.04 avg rating,https://www.goodreads.com/book/show/18545.Rosencrantz_and_Guildenstern_Are_Dead,,,,
Under the Dome,Stephen        King,3.93 avg rating,https://www.goodreads.com/book/show/6320534-under-the-dome,,,,
Possession,A.S. Byatt,3.90 avg rating,https://www.goodreads.com/book/show/41219.Possession,,,,
The Blind Assassin,Margaret Atwood,3.96 avg rating,https://www.goodreads.com/book/show/78433.The_Blind_Assassin,,,,
"Pretties (Uglies, #2)",Scott Westerfeld,3.83 avg rating,https://www.goodreads.com/book/show/24768.Pretties,,,,
"The Death Cure (The Maze Runner, #3)",James Dashner,3.78 avg rating,https://www.goodreads.com/book/show/7864437-the-death-cure,,,,
The Winter of Frankie Machine,Don Winslow,4.19 avg rating,https://www.goodreads.com/book/show/164760.The_Winter_of_Frankie_Machine,,,,
Cosmos,Carl Sagan,4.40 avg rating,https://www.goodreads.com/book/show/55030.Cosmos,,,,
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.85 avg rating,https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants,,,,
House of Sand and Fog,Andre Dubus III,3.86 avg rating,https://www.goodreads.com/book/show/38311414-house-of-sand-and-fog,,,,
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,3.99 avg rating,https://www.goodreads.com/book/show/14995.Odd_Thomas,,,,
"Keeper of the Lost Cities (Keeper of the Lost Cities, #1)",Shannon Messenger,4.39 avg rating,https://www.goodreads.com/book/show/12842828-keeper-of-the-lost-cities,,,,
The Agony and the Ecstasy,Irving Stone,4.09 avg rating,https://www.goodreads.com/book/show/321552.The_Agony_and_the_Ecstasy,,,,
Papillon,Henri Charrière,4.23 avg rating,https://www.goodreads.com/book/show/6882.Papillon,,,,
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.26 avg rating,https://www.goodreads.com/book/show/76401.Bury_My_Heart_at_Wounded_Knee,,,,
The Sirens of Titan,Kurt Vonnegut Jr.,4.15 avg rating,https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan,,,,
"Consequences (Consequences, #1)",Aleatha Romig,3.92 avg rating,https://www.goodreads.com/book/show/12368985-consequences,,,,
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,4.31 avg rating,https://www.goodreads.com/book/show/304027.Lover_Unbound,,,,
On Writing: A Memoir of the Craft,Stephen        King,4.34 avg rating,https://www.goodreads.com/book/show/10569.On_Writing,,,,
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.01 avg rating,https://www.goodreads.com/book/show/1202.Freakonomics,,,,
Veronika Decides to Die,Paulo Coelho,3.74 avg rating,https://www.goodreads.com/book/show/1431.Veronika_Decides_to_Die,,,,
"Truth (Consequences, #2)",Aleatha Romig,4.34 avg rating,https://www.goodreads.com/book/show/16070018-truth,,,,
How to Win Friends & Influence People,Dale Carnegie,4.22 avg rating,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_Influence_People,,,,
A Heartbreaking Work of Staggering Genius,Dave Eggers,3.69 avg rating,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,,,,
"Storm Front (The Dresden Files, #1)",Jim  Butcher,3.97 avg rating,https://www.goodreads.com/book/show/47212.Storm_Front,,,,
The Elegance of the Hedgehog,Muriel Barbery,3.80 avg rating,https://www.goodreads.com/book/show/2967752-the-elegance-of-the-hedgehog,,,,
Corelli’s Mandolin,Louis de Bernières,4.03 avg rating,https://www.goodreads.com/book/show/3388.Corelli_s_Mandolin,,,,
The Drowning Woman,Robyn Harding,4.03 avg rating,https://www.goodreads.com/book/show/62874245-the-drowning-woman,,,,
"Magical Midlife Awakening (Leveling Up, #9)",K.F. Breene,4.63 avg rating,https://www.goodreads.com/book/show/205840559-magical-midlife-awakening,,,,
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46 avg rating,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,,,,
"Prodigy (Legend, #2)",Marie Lu,4.22 avg rating,https://www.goodreads.com/book/show/13414446-prodigy,,,,
Murder on Family Grounds (Mary Wandwalker #3),Susan  Rowland,4.30 avg rating,https://www.goodreads.com/book/show/205338104-murder-on-family-grounds,,,,
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.99 avg rating,https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,,,,
The Witch of Blackbird Pond,Elizabeth George Speare,4.03 avg rating,https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond,,,,
Stoner,John  Williams,4.35 avg rating,https://www.goodreads.com/book/show/166997.Stoner,,,,
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08 avg rating,https://www.goodreads.com/book/show/20559676-killing-sarai,,,,
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,3.84 avg rating,https://www.goodreads.com/book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You,,,,
Digital Fortress,Dan    Brown,3.70 avg rating,https://www.goodreads.com/book/show/11125.Digital_Fortress,,,,
Something Wicked This Way Comes,Ray Bradbury,3.90 avg rating,https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes,,,,
Prodigal Summer,Barbara Kingsolver,4.05 avg rating,https://www.goodreads.com/book/show/14249.Prodigal_Summer,,,,
Meditations,Marcus Aurelius,4.28 avg rating,https://www.goodreads.com/book/show/30659.Meditations,,,,
"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.06 avg rating,https://www.goodreads.com/book/show/40024.The_Alienist,,,,
The Aeneid,Virgil,3.87 avg rating,https://www.goodreads.com/book/show/12914.The_Aeneid,,,,
Song of Solomon,Toni Morrison,4.16 avg rating,https://www.goodreads.com/book/show/11334.Song_of_Solomon,,,,
Holy Bible: New International Version,Anonymous,4.63 avg rating,https://www.goodreads.com/book/show/280111.Holy_Bible,,,,
Battle Royale,Koushun Takami,4.26 avg rating,https://www.goodreads.com/book/show/57891.Battle_Royale,,,,
Babel,R.F. Kuang,4.15 avg rating,https://www.goodreads.com/book/show/57945316-babel,,,,
The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,3.81 avg rating,https://www.goodreads.com/book/show/18300212-the-trigger,,,,
"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,3.98 avg rating,https://www.goodreads.com/book/show/18134894-tears-of-tess,,,,
Around the World in Eighty Days,Jules Verne,3.95 avg rating,https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days,,,,
This Is How You Lose the Time War,Amal El-Mohtar,3.85 avg rating,https://www.goodreads.com/book/show/43352954-this-is-how-you-lose-the-time-war,,,,
"Love Story (Love Story, #1)",Erich Segal,3.65 avg rating,https://www.goodreads.com/book/show/73968.Love_Story,,,,
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,3.81 avg rating,https://www.goodreads.com/book/show/7061.The_No_1_Ladies_Detective_Agency,,,,
"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.04 avg rating,https://www.goodreads.com/book/show/22020052-it-ain-t-me-babe,,,,
Ficciones,Jorge Luis Borges,4.40 avg rating,https://www.goodreads.com/book/show/426504.Ficciones,,,,
Jitterbug Perfume,Tom Robbins,4.23 avg rating,https://www.goodreads.com/book/show/8682.Jitterbug_Perfume,,,,
"Tempted (House of Night, #6)",P.C. Cast,3.95 avg rating,https://www.goodreads.com/book/show/6262365-tempted,,,,
Ivanhoe,Walter Scott,3.76 avg rating,https://www.goodreads.com/book/show/6440.Ivanhoe,,,,
Howl and Other Poems,Allen Ginsberg,4.13 avg rating,https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems,,,,
"The High Auction (Wisdom Revolution, #1)",Misba,4.69 avg rating,https://www.goodreads.com/book/show/60215314-the-high-auction,,,,
Anthem,Ayn Rand,3.61 avg rating,https://www.goodreads.com/book/show/667.Anthem,,,,
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.99 avg rating,https://www.goodreads.com/book/show/34497.The_Color_of_Magic,,,,
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,4.24 avg rating,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,,,,
"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,4.14 avg rating,https://www.goodreads.com/book/show/6325285-rubinrot,,,,
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,4.18 avg rating,https://www.goodreads.com/book/show/7770.One_Fish_Two_Fish_Red_Fish_Blue_Fish,,,,
"The Oldest Dance (Wisdom Revolution, #2)",Misba,4.70 avg rating,https://www.goodreads.com/book/show/60215458-the-oldest-dance,,,,
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.71 avg rating,https://www.goodreads.com/book/show/9416.Confessions_of_a_Shopaholic,,,,
"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,4.32 avg rating,https://www.goodreads.com/book/show/9532.Ender_s_Shadow,,,,
"Princess Academy (Princess Academy, #1)",Shannon Hale,4.04 avg rating,https://www.goodreads.com/book/show/85990.Princess_Academy,,,,
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,4.20 avg rating,https://www.goodreads.com/book/show/18243700-the-assassin-s-blade,,,,
The Story of My Life,Helen Keller,4.08 avg rating,https://www.goodreads.com/book/show/821611.The_Story_of_My_Life,,,,
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,3.94 avg rating,https://www.goodreads.com/book/show/2052.The_Big_Sleep,,,,
Mistress Suffragette,Diana   Forbes,4.29 avg rating,https://www.goodreads.com/book/show/34521870-mistress-suffragette,,,,
The Magic Mountain,Thomas Mann,4.13 avg rating,https://www.goodreads.com/book/show/88077.The_Magic_Mountain,,,,
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.04 avg rating,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,,,,
The Invention of Hugo Cabret,Brian Selznick,4.22 avg rating,https://www.goodreads.com/book/show/9673436-the-invention-of-hugo-cabret,,,,
Message in a Bottle,Nicholas Sparks,3.98 avg rating,https://www.goodreads.com/book/show/3478.Message_in_a_Bottle,,,,
One Day,David Nicholls,3.87 avg rating,https://www.goodreads.com/book/show/6280118-one-day,,,,
"Antigone (The Theban Plays, #3)",Sophocles,3.68 avg rating,https://www.goodreads.com/book/show/7728.Antigone,,,,
"Souls Unfractured (Hades Hangmen, #3)",Tillie Cole,4.41 avg rating,https://www.goodreads.com/book/show/22107214-souls-unfractured,,,,
"Fablehaven (Fablehaven, #1)",Brandon Mull,4.14 avg rating,https://www.goodreads.com/book/show/44652.Fablehaven,,,,
"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,4.02 avg rating,https://www.goodreads.com/book/show/140082.Club_Dead,,,,
Walk Two Moons,Sharon Creech,really liked it 4.00 avg rating,https://www.goodreads.com/book/show/53496.Walk_Two_Moons,,,,
The Polymorph,Max Nowaz,4.27 avg rating,https://www.goodreads.com/book/show/101265124-the-polymorph,,,,
Orlando,Virginia Woolf,3.87 avg rating,https://www.goodreads.com/book/show/18839.Orlando,,,,
"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,3.96 avg rating,https://www.goodreads.com/book/show/110494.Living_Dead_in_Dallas,,,,
The Power of Myth,Joseph Campbell,4.26 avg rating,https://www.goodreads.com/book/show/35519.The_Power_of_Myth,,,,
The Shell Seekers,Rosamunde Pilcher,4.20 avg rating,https://www.goodreads.com/book/show/37095.The_Shell_Seekers,,,,
It's Kind of a Funny Story,Ned Vizzini,4.07 avg rating,https://www.goodreads.com/book/show/248704.It_s_Kind_of_a_Funny_Story,,,,
